Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
1,T001,5,-0.00539677272756046,-0.0047526732752712
2,T001,10,-0.00571882245347863,0.00458676885088104
3,T001,15,-0.00539677272756046,-0.00443062354890007
4,T001,20,-0.00539677272756046,-0.0047526732752712
5,T001,25,-0.00507472300149132,-0.00443062354890007
6,T001,30,-0.00571882245347863,-0.00507472300149132
7,T001,35,-0.00539677272756046,-0.00443062354890007
8,T001,40,-0.00507472300149132,-0.00604087217924587
9,T001,45,-0.00571882245347863,-0.00443062354890007
10,T001,50,-0.00507472300149132,-0.0047526732752712
11,T001,55,-0.00539677272756046,-0.0047526732752712
12,T001,60,-0.00571882245347863,-0.00507472300149132
13,T001,65,-0.00604087217924587,-0.0047526732752712
14,T001,70,-0.00668497163032762,-0.00507472300149132
15,T001,75,-0.00507472300149132,-0.00443062354890007
16,T001,80,-0.00539677272756046,-0.00700702135564216
17,T001,85,-0.00539677272756046,-0.0047526732752712
18,T001,90,-0.00539677272756046,-0.0047526732752712
19,T001,95,-0.00507472300149132,-0.0047526732752712
20,T001,100,-0.00539677272756046,-0.00539677272756046
21,T001,105,-0.00539677272756046,-0.0047526732752712
22,T001,110,-0.00539677272756046,-0.00507472300149132
23,T001,115,-0.00507472300149132,-0.00604087217924587
24,T001,120,-0.00539677272756046,-0.00507472300149132
25,T001,125,-0.00571882245347863,-0.0047526732752712
26,T001,130,-0.00507472300149132,-0.0047526732752712
27,T001,135,-0.00539677272756046,-0.00507472300149132
28,T001,140,-0.00539677272756046,-0.00507472300149132
29,T001,145,-0.00571882245347863,-0.0047526732752712
30,T001,150,-0.00507472300149132,-0.0047526732752712
31,T001,155,-0.00539677272756046,-0.00604087217924587
32,T001,160,-0.00539677272756046,-0.00507472300149132
33,T001,165,-0.00539677272756046,-0.00507472300149132
34,T001,170,-0.00539677272756046,-0.0047526732752712
35,T001,175,-0.00539677272756046,-0.0047526732752712
36,T001,180,-0.00604087217924587,-0.0047526732752712
37,T001,185,-0.00539677272756046,-0.00571882245347863
38,T001,190,-0.00539677272756046,-0.00443062354890007
39,T001,195,-0.00636292190486219,-0.0047526732752712
40,T001,200,-0.00571882245347863,-0.00443062354890007
41,T001,205,-0.00636292190486219,-0.00539677272756046
42,T001,210,-0.00539677272756046,-0.00443062354890007
43,T001,215,-0.00539677272756046,-0.0047526732752712
44,T001,220,-0.00604087217924587,-0.0047526732752712
45,T001,225,-0.00539677272756046,-0.0047526732752712
46,T001,230,-0.00507472300149132,-0.00507472300149132
47,T001,235,-0.00539677272756046,-0.0047526732752712
48,T001,240,-0.00571882245347863,-0.0047526732752712
49,T001,245,-0.00539677272756046,-0.00443062354890007
50,T001,250,-0.00539677272756046,-0.00443062354890007
51,T001,255,-0.00539677272756046,-0.00604087217924587
52,T001,260,-0.00539677272756046,-0.00443062354890007
53,T001,265,-0.00539677272756046,-0.00507472300149132
54,T001,270,-0.00539677272756046,-0.0047526732752712
55,T001,275,-0.00571882245347863,-0.0047526732752712
56,T001,280,-0.00539677272756046,-0.00443062354890007
57,T001,285,-0.00539677272756046,-0.00443062354890007
58,T001,290,-0.00539677272756046,-0.00443062354890007
59,T001,295,-0.00507472300149132,-0.0047526732752712
60,T001,300,-0.00539677272756046,-0.00700702135564216
61,T001,305,-0.00539677272756046,-0.0047526732752712
62,T001,310,-0.00571882245347863,-0.0047526732752712
63,T001,315,-0.00507472300149132,-0.00507472300149132
64,T001,320,-0.00539677272756046,-0.00507472300149132
65,T001,325,-0.00539677272756046,-0.00443062354890007
66,T001,330,-0.00507472300149132,-0.00507472300149132
67,T001,335,-0.00539677272756046,-0.0047526732752712
68,T001,340,-0.00539677272756046,-0.00507472300149132
69,T001,345,-0.00636292190486219,-0.0047526732752712
70,T001,350,-0.00636292190486219,-0.00507472300149132
71,T001,355,-0.00668497163032762,-0.00507472300149132
72,T001,360,-0.00507472300149132,-0.00443062354890007
73,T001,365,-0.00571882245347863,-0.00604087217924587
74,T001,370,-0.00539677272756046,-0.0047526732752712
75,T001,375,-0.00539677272756046,-0.0047526732752712
76,T001,380,-0.00539677272756046,-0.00443062354890007
77,T001,385,-0.00539677272756046,-0.00443062354890007
78,T001,390,-0.00668497163032762,-0.00507472300149132
79,T001,395,-0.00507472300149132,-0.0047526732752712
80,T001,400,-0.00539677272756046,-0.00507472300149132
81,T001,405,-0.00571882245347863,-0.00636292190486219
82,T001,410,-0.00539677272756046,-0.00668497163032762
83,T001,415,-0.00507472300149132,-0.00539677272756046
84,T001,420,-0.00539677272756046,-0.00443062354890007
85,T001,425,-0.00571882245347863,-0.00507472300149132
86,T001,430,-0.00539677272756046,-0.00507472300149132
87,T001,435,-0.00539677272756046,-0.00636292190486219
88,T001,440,-0.00539677272756046,-0.00443062354890007
89,T001,445,-0.00539677272756046,-0.00443062354890007
90,T001,450,-0.00636292190486219,-0.00507472300149132
91,T001,455,-0.00507472300149132,-0.00507472300149132
92,T001,460,-0.00507472300149132,-0.0047526732752712
93,T001,465,-0.00571882245347863,-0.00507472300149132
94,T001,470,-0.00604087217924587,-0.0047526732752712
